"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"global-messages-db.sqlite","2018-07-11 08:12:08 SGT","2018-07-11 08:12:08 SGT","2018-05-03 07:58:17 SGT","2018-05-03 07:58:17 SGT","1245184","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Roaming/Thunderbird/Profiles/1cug4fub.default/global-messages-db.sqlite","6c4627f7c3292956bbb313d6081f85ef","c31a207b5f6bf9e98f87f5b4358211fa770086d47d030ced5d64bec3a8a73603","application/x-sqlite3","sqlite"
"configuration.sqlite","2018-07-09 11:22:07 SGT","2018-07-09 11:22:07 SGT","2018-07-09 11:21:56 SGT","2018-07-09 11:21:56 SGT","159744","Allocated","Allocated","unknown","/img_202.dd/Program Files/WindowsApps/Microsoft.BingWeather_4.25.11802.0_x64__8wekyb3d8bbwe/Configuration/configuration.sqlite","01c4c794a990070bc51f990b8159cd41","93840eb6ded3a0ef12d273fb405b0d094f5c7344c5d4d7420b0b4ad3df74f05f","application/x-sqlite3","sqlite"
"configuration.sqlite","2017-03-19 10:33:18 SGT","2018-01-09 07:48:19 SGT","2017-03-19 10:33:18 SGT","2017-03-19 10:33:18 SGT","147456","Allocated","Allocated","unknown","/img_202.dd/Windows/InfusedApps/Packages/Microsoft.BingWeather_4.18.56.0_x64__8wekyb3d8bbwe/Configuration/configuration.sqlite","8c5a3d3511950cc1003adc8eef90a9b2","cdda17d1a1b7807ae9d6d27d706d56cc22645c28855c27b37925fdc3ad5ef491","application/x-sqlite3","sqlite"
"wpndatabase.db","2018-01-09 07:01:25 SGT","2018-01-09 07:01:25 SGT","2018-01-09 07:01:25 SGT","2018-01-09 07:01:25 SGT","4096","Allocated","Allocated","unknown","/img_202.dd/Windows/System32/config/systemprofile/AppData/Local/Microsoft/Windows/Notifications/wpndatabase.db","921d4ea4b719fc62056f359da83e5c69","6037cfea8125ba07d10365b13a4a121563ff21b9d6a920824d86afd4f13e8b95","application/x-sqlite3","db"
"sbasic.db","2017-12-11 20:32:00 SGT","2018-05-02 11:50:33 SGT","2018-05-02 11:50:33 SGT","2017-12-11 20:32:00 SGT","749147","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sbasic.db","00fff8879408e4b48745cf544e3b91e1","cf658ecfc8ebdb65647d57ff1ecd2ee3dc4749340e429bca59ce9a988a00c345","text/plain","db"
"scalc.db","2017-12-11 20:49:14 SGT","2018-05-02 11:50:33 SGT","2018-05-02 11:50:33 SGT","2017-12-11 20:49:14 SGT","932643","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/scalc.db","b421161f93859dc1d5b5249d23cb3ff9","f7040a935bb84823cfde70493691aa2fef6c6a4e0a51c42ab7b98771d6757598","text/plain","db"
"schart.db","2017-12-11 20:22:22 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:22:22 SGT","719337","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/schart.db","cf3c1606a40064e49a65983c00e23d3b","b5606c0ff5c3332814bec286f9c037a29555139ba2c99f7969516a8a85effebd","text/plain","db"
"sdatabase.db","2017-12-11 19:44:06 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 19:44:06 SGT","675176","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sdatabase.db","9e071acfb7950abd559208835b15ba5f","1691cbbc05734b935b8cf29960c6ba305b3d416c42d46ed7d35907aead8943cb","text/plain","db"
"sdraw.db","2017-12-11 20:01:10 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:01:10 SGT","833512","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sdraw.db","4f0048569b5ffd874b9a2db60615fa18","e184f401b09c733b1dd3bf06f7060bf190b2ba87dec693682bc14dc4021328a5","text/plain","db"
"simpress.db","2017-12-11 19:58:04 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 19:58:04 SGT","839914","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/simpress.db","2f92fb6ee65cbabccfbd3fec17c34563","f4e29a37f4db27c4040c0e44db07b1b4fac0847f5ff682eac2dad7f116e28f34","text/plain","db"
"smath.db","2017-12-11 20:36:56 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:36:56 SGT","715390","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/smath.db","8e10b862344c3807936e9c4a1b3a8d9b","3dbe2609b516cc9bd04aed36d2d7ec6ee79ea94501140599debd3a2ee617aada","text/plain","db"
"swriter.db","2017-12-11 20:15:30 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:15:30 SGT","923541","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/swriter.db","e1f44ae58bf5675aa57b9e84e94f96e8","cc98a0ebb774fe305f35da9482afa4b4595b41ece75a81cbc5798f0d11712439","text/plain","db"
